Time,ID,Type,Status,Lat,Lon,Alt,Roll,Pitch,Yaw
0.0100,1,1,0,37.46641507,126.44991077,2450.7108,0,0.0000,-0.0000
0.0100,2,1,0,37.46637355,126.45013312,2452.0968,0,-0.0001,0.0000
0.0100,3,1,0,37.46625321,126.45010222,2452.4539,0,-0.0001,-0.0000
0.0200,1,1,0,37.46643308,126.44991065,2450.7066,0,0.0000,-0.0000
0.0200,2,1,0,37.46639157,126.45013299,2452.0926,0,-0.0001,0.0000
0.0200,3,1,0,37.46627123,126.45010209,2452.4497,0,-0.0001,-0.0000
0.0300,1,1,0,37.46645110,126.44991052,2450.7025,0,0.0000,-0.0000
0.0300,2,1,0,37.46640958,126.45013287,2452.0885,0,-0.0001,0.0000
0.0300,3,1,0,37.46628924,126.45010196,2452.4455,0,-0.0001,-0.0000
0.0400,1,1,0,37.46646911,126.44991039,2450.6983,0,0.0000,-0.0000
0.0400,2,1,0,37.46642759,126.45013274,2452.0843,0,-0.0001,0.0000
0.0400,3,1,0,37.46630725,126.45010184,2452.4414,0,-0.0001,-0.0000
0.0500,1,1,0,37.46648712,126.44991027,2450.6942,0,0.0000,-0.0000
0.0500,2,1,0,37.46644561,126.45013262,2452.0801,0,-0.0001,0.0000
0.0500,3,1,0,37.46632526,126.45010171,2452.4372,0,-0.0001,-0.0000
0.0600,1,1,0,37.46650514,126.44991014,2450.6900,0,0.0000,-0.0000
0.0600,2,1,0,37.46646362,126.45013249,2452.0760,0,-0.0001,0.0000
0.0600,3,1,0,37.46634328,126.45010158,2452.4331,0,-0.0001,-0.0000
0.0700,1,1,0,37.46652315,126.44991001,2450.6859,0,0.0000,-0.0000
0.0700,2,1,0,37.46648163,126.45013236,2452.0718,0,-0.0001,0.0000
0.0700,3,1,0,37.46636129,126.45010146,2452.4289,0,-0.0001,-0.0000
0.0800,1,1,0,37.46654116,126.44990989,2450.6818,0,0.0000,-0.0000
0.0800,2,1,0,37.46649965,126.45013224,2452.0677,0,-0.0001,0.0000
0.0800,3,1,0,37.46637930,126.45010133,2452.4248,0,-0.0001,-0.0000
0.0900,1,1,0,37.46655918,126.44990976,2450.6776,0,0.0000,-0.0000
0.0900,2,1,0,37.46651766,126.45013211,2452.0635,0,-0.0001,0.0000
0.0900,3,1,0,37.46639732,126.45010121,2452.4206,0,-0.0001,-0.0000
0.1000,1,1,0,37.46657719,126.44990964,2450.6735,0,0.0000,-0.0000
0.1000,2,1,0,37.46653567,126.45013198,2452.0594,0,-0.0001,0.0000
0.1000,3,1,0,37.46641533,126.45010108,2452.4165,0,-0.0001,-0.0000
0.1100,1,1,0,37.46659520,126.44990951,2450.6693,0,0.0000,-0.0000
0.1100,2,1,0,37.46655368,126.45013186,2452.0553,0,-0.0001,0.0000
0.1100,3,1,0,37.46643334,126.45010095,2452.4123,0,-0.0001,-0.0000
0.1200,1,1,0,37.46661321,126.44990938,2450.6652,0,0.0000,-0.0000
0.1200,2,1,0,37.46657170,126.45013173,2452.0511,0,-0.0001,0.0000
0.1200,3,1,0,37.46645136,126.45010083,2452.4082,0,-0.0001,-0.0000
